No,Time (s),Temperature (C),Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
101,153365.79,30.5,-0.0063915867,0.0095873801,-0.0010652645,-0.076617189,0.0095771486,-10.103891,-0.37799999,-1.6005,1.6455001
102,153365.79,30.5,-0.012783173,0.0063915867,-0.0021305289,-0.038308594,0.028731447,-10.07516,-0.37799999,-1.6005,1.6455001
103,153365.8,30.5,-0.010652645,0.0053263223,-0.0042610578,-0.057462893,0.067040041,-10.170932,-0.37799999,-1.6005,1.6455001
104,153365.8,30.5,-0.0042610578,0.0042610578,-0.0042610578,-0.057462893,0.028731447,-10.113469,-0.37799999,-1.6005,1.6455001
105,153365.8,30.5,0.0042610578,0.0095873801,-0.0031957934,-0.047885742,-0.019154297,-10.218818,-0.37799999,-1.6005,1.6455001
106,153365.8,30.5,0.0074568512,0.011717909,-0.0010652645,-0.086194336,0.038308594,-10.170932,-0.37799999,-1.6005,1.6455001
107,153365.8,30.5,0.0095873801,0.015978966,0,0,-0.019154297,-10.103891,-0.37799999,-1.6005,1.6455001
108,153365.8,30.5,0.0053263223,0.0095873801,0.0021305289,-0.076617189,0.038308594,-10.161355,-0.37799999,-1.6005,1.6455001
109,153365.8,30.5,0.0021305289,0.0010652645,0.0010652645,-0.028731447,0.028731447,-10.180509,-0.37799999,-1.6005,1.6455001
110,153365.8,30.5,0.0010652645,-0.0053263223,0,-0.019154297,0.019154297,-10.151777,-0.37799999,-1.6005,1.6455001
111,153365.8,30.5,0.0021305289,-0.0031957934,0,-0.057462893,0.0095771486,-10.113469,-0.37799999,-1.6005,1.6455001
112,153365.8,30.5,0.0010652645,0.0021305289,-0.0010652645,-0.057462893,0.0095771486,-10.190086,-0.37799999,-1.6065,1.65
113,153365.81,30.5,0.0021305289,0.0031957934,0.0010652645,-0.047885742,0.0095771486,-10.161355,-0.37799999,-1.6065,1.65
114,153365.81,30.5,0.0010652645,0.0031957934,-0.0021305289,-0.067040041,0.067040041,-10.151777,-0.37799999,-1.6065,1.65
115,153365.81,30.5,-0.0031957934,0.0010652645,-0.0031957934,0,0.019154297,-10.094315,-0.37799999,-1.6065,1.65
116,153365.81,30.5,-0.0063915867,0,-0.0031957934,0,0.019154297,-10.094315,-0.37799999,-1.6065,1.65
117,153365.81,30.5,-0.0095873801,0,-0.0010652645,-0.047885742,0.057462893,-10.180509,-0.37799999,-1.6065,1.65
118,153365.81,30.5,-0.0053263223,0.0021305289,0.0074568512,-0.047885742,0.0095771486,-10.161355,-0.37799999,-1.6065,1.65
119,153365.81,30.5,-0.0074568512,0.0063915867,0.0085221156,-0.047885742,0.0095771486,-10.161355,-0.37799999,-1.6065,1.65
120,153365.81,30.5,-0.0063915867,0.0053263223,0.0053263223,-0.038308594,0.038308594,-10.170932,-0.37799999,-1.6065,1.65
121,153365.81,30.5,-0.0031957934,0.0074568512,0.0010652645,-0.095771484,0.057462893,-10.1422,-0.37799999,-1.6065,1.65
122,153365.81,30.5,-0.0021305289,0.0053263223,-0.0031957934,-0.076617189,-0.019154297,-10.132624,-0.3795,-1.605,1.6515
123,153365.82,30.5,0.0010652645,0.0085221156,-0.0031957934,0.0095771486,0,-10.113469,-0.3795,-1.605,1.6515
